"","X_key","Course.ID","EntityType","Name","Length..Hours.","Avg..User.Rating","Total.Enrollments","Total.Ratings","Organiser","Difficulty","Public.URL","uni"
"1600","_qMNfupfEea9sQ4_cyco6A","_qMNfupfEea9sQ4_cyco6A","COURSE","Google Cloud Platform Fundamentals for AWS Professionals",10,4.60725075528701,13053,331,"Google Cloud","Intermediate","https://www.coursera.org/learn/gcp-fundamentals-aws",FALSE
"1612","7wRcAC7HEeieyQoEmfUmdA","7wRcAC7HEeieyQoEmfUmdA","COURSE","Palo Alto Networks Academy Cybersecurity Foundation",11,4.75135135135135,4475,185,"Palo Alto Networks","Beginner","https://www.coursera.org/learn/cybersecurity-foundation",FALSE
"1641","y0RR_vZ4EeeHQRLf02JF5g","y0RR_vZ4EeeHQRLf02JF5g","COURSE","Google Cloud Platform Big Data and Machine Learning Fundamentals en Español",16,4.68095238095238,7786,210,"Google Cloud","Intermediate","https://www.coursera.org/learn/gcp-big-data-ml-fundamentals-es",FALSE
"1656","OJlYSUgFEeiRoQ52x8gP0g","OJlYSUgFEeiRoQ52x8gP0g","COURSE","Art and Science of Machine Learning",8,4.59615384615385,8691,988,"Google Cloud","Intermediate","https://www.coursera.org/learn/art-science-ml",FALSE
"1657","BrizCVfcEemQ5QpVooi_CA","BrizCVfcEemQ5QpVooi_CA","COURSE","Cybersecurity Roles, Processes & Operating System Security",10,4.56190476190476,1932,105,"IBM","Mixed","https://www.coursera.org/learn/cybersecurity-roles-processes-operating-system-security",FALSE
"1680","7sNP37xrEeiL4Q6DgrZ6DA","7sNP37xrEeiL4Q6DgrZ6DA","COURSE","Sequence Models for Time Series and Natural Language Processing",13,4.45357142857143,4372,280,"Google Cloud","Advanced","https://www.coursera.org/learn/sequence-models-tensorflow-gcp",FALSE
"1695","KrFi11oSEemqqRI1NjGL6A","KrFi11oSEemqqRI1NjGL6A","COURSE","Mastering Final Cut Pro",22,5,1154,1,"LearnQuest","Beginner","https://www.coursera.org/learn/mastering-final-cut-pro",FALSE
"1720","xhRmx0_tEemoXg4ZX62OZA","xhRmx0_tEemoXg4ZX62OZA","COURSE","AWS Fundamentals: Addressing Security Risk",8,4.44736842105263,4557,114,"Amazon Web Services","Beginner","https://www.coursera.org/learn/aws-fundamentals-addressing-security-risk",FALSE
"1726","FSiMnrrVEemgqQ5Sr_yJXA","FSiMnrrVEemgqQ5Sr_yJXA","COURSE","Introduction to Programming in Swift 5",10,4.23529411764706,532,17,"LearnQuest","Beginner","https://www.coursera.org/learn/swift-5-programming-introduction",FALSE
"1731","ax78VekyEem5hw6NNXJJ2g","ax78VekyEem5hw6NNXJJ2g","COURSE","Autodesk Certified Professional: Revit for Structural Design Exam Prep",14,4.75,522,4,"Autodesk","Advanced","https://www.coursera.org/learn/autodesk-revit-for-structural-design-exam-prep",FALSE
"1733","yEurgmOREei16BIJfVb6WA","yEurgmOREei16BIJfVb6WA","COURSE","Linux for Developers",13,4.48066298342541,2351,181,"The Linux Foundation","Beginner","https://www.coursera.org/learn/linux-for-developers",FALSE
"1734","w3__pI9fEeeBxA6NEfCl3g","w3__pI9fEeeBxA6NEfCl3g","COURSE","3D Model Creation with Autodesk Fusion 360",17,4.75225225225225,4642,222,"Autodesk","Advanced","https://www.coursera.org/learn/3d-model-creation-fusion-360",FALSE
"1740","T_e2Fp5sEeehoxIgNgFKoA","T_e2Fp5sEeehoxIgNgFKoA","COURSE","Applying Machine Learning to your Data with GCP",8,4.70352941176471,5495,425,"Google Cloud","Intermediate","https://www.coursera.org/learn/data-insights-gcp-apply-ml",FALSE
"1779","bSqR_L0VEemBaw6-E5UefA","bSqR_L0VEemBaw6-E5UefA","COURSE","Introduction to Intel® Distribution of OpenVINO™ toolkit for Computer Vision Applications",3,4.1578947368421,871,19,"Intel","Beginner","https://www.coursera.org/learn/intel-openvino",FALSE
"1783","BwuL5JwaEeigWgp_hi6FmA","BwuL5JwaEeigWgp_hi6FmA","COURSE","Production Machine Learning Systems",8,4.58699472759227,5055,569,"Google Cloud","Advanced","https://www.coursera.org/learn/gcp-production-ml-systems",FALSE
"1788","kK2IsV-JEei_nBLwczMEKA","kK2IsV-JEei_nBLwczMEKA","COURSE","IBM Customer Engagement Specialist Professional Certificate",22,4.78476821192053,2262,302,"IBM","Beginner","https://www.coursera.org/learn/ibm-customer-engagement-specialist",FALSE
"1811","WQMNShxYEeWP9g4JMjGIiQ","WQMNShxYEeWP9g4JMjGIiQ","COURSE","Foundations of Teaching for Learning: Being a Teacher",14,4.60546875,18739,256,"Commonwealth Education Trust","Mixed","https://www.coursera.org/learn/being-a-teacher",FALSE
"1813","3s_AM6U7EeeFFAomdhT2pA","3s_AM6U7EeeFFAomdhT2pA","COURSE","VR and 360 Video Production",8,4.66283524904215,9425,261,"Google AR & VR","Beginner","https://www.coursera.org/learn/360-vr-video-production",FALSE
"1826","FEfS7bzUEeiHWw5HHNMWFg","FEfS7bzUEeiHWw5HHNMWFg","COURSE","Practical SAS Programming and Certification Review",27,4.8125,2498,112,"SAS","Intermediate","https://www.coursera.org/learn/sas-programming-certification-review",FALSE
"1829","XYXR3WgwEei-HhKT-KQ4Kg","XYXR3WgwEei-HhKT-KQ4Kg","COURSE","Advanced Data Science Capstone",10,4.625,4382,176,"IBM","Advanced","https://www.coursera.org/learn/advanced-data-science-capstone",FALSE
"1855","Lmmy3KkxEeeDkArsR_C2QA","Lmmy3KkxEeeDkArsR_C2QA","COURSE","Access Controls",17,4.63793103448276,2008,116,"(ISC)²","Beginner","https://www.coursera.org/learn/access-control-sscp",FALSE
"1858","B0LvoSm0Eem56wpwE7mryA","B0LvoSm0Eem56wpwE7mryA","COURSE","Los bits y bytes de las redes informáticas",25,4.84,750,100,"Crece con Google","Beginner","https://www.coursera.org/learn/redes-informaticas",FALSE
"1872","LsMF0rxtEei1aQ5Zl9xCuA","LsMF0rxtEei1aQ5Zl9xCuA","COURSE","Recommendation Systems with TensorFlow on GCP",11,4.52032520325203,3525,246,"Google Cloud","Advanced","https://www.coursera.org/learn/recommendation-models-gcp",FALSE
"1885","QjpvECu5EeiXigpZZkAEUg","QjpvECu5EeiXigpZZkAEUg","COURSE","Introduction to Cloud Identity",7,4.41875,6451,160,"Google Cloud","Beginner","https://www.coursera.org/learn/cloud-identity",FALSE
"1896","j-zL7CvgEemV_A4t3mTtWg","j-zL7CvgEemV_A4t3mTtWg","COURSE","Introduction to Enterprise Computing",8,4.75167785234899,1090,149,"IBM","Beginner","https://www.coursera.org/learn/introduction-enterprise-computing",FALSE
"1900","a3Q1g0YtEeeJdBL3H0RODg","a3Q1g0YtEeeJdBL3H0RODg","COURSE","An Introduction to Practical Deep Learning",12,4.31428571428571,10271,70,"Intel","Intermediate","https://www.coursera.org/learn/intro-practical-deep-learning",FALSE
"1909","z9IkgXgWEemcDgqxMcjw6A","z9IkgXgWEemcDgqxMcjw6A","COURSE","Generative Design for Additive Manufacturing",16,4.88235294117647,872,17,"Autodesk","Beginner","https://www.coursera.org/learn/generative-design-additive-manufacturing",FALSE
"1912","baumlTm8Eeeahg4SvlLy9A","baumlTm8Eeeahg4SvlLy9A","COURSE","API Security on Google Cloud's Apigee API Platform",3,4.63617021276596,4031,470,"Google Cloud","Intermediate","https://www.coursera.org/learn/api-security-apigee-gcp",FALSE
"1932","bN6DyH35EeeG2Q5aEOT70A","bN6DyH35EeeG2Q5aEOT70A","COURSE","Practical Machine Learning on H2O",31,4.48148148148148,4324,54,"H2O","Intermediate","https://www.coursera.org/learn/machine-learning-h2o",FALSE
"1941","QQWDNDR8EemuNhJSdKP02A","QQWDNDR8EemuNhJSdKP02A","COURSE","Machine Learning Using SAS Viya",27,4.70588235294118,2601,34,"SAS","Intermediate","https://www.coursera.org/learn/machine-learning-sas",FALSE
"1961","3pCB7HgGEem9bArpYNDHGA","3pCB7HgGEem9bArpYNDHGA","COURSE","Network Security & Database Vulnerabilities",13,4.44262295081967,1345,61,"IBM","Beginner","https://www.coursera.org/learn/network-security-database-vulnerabilities",FALSE
"1971","-qIqP1FsEemNmQ6a3syMJg","-qIqP1FsEemNmQ6a3syMJg","COURSE","Introduction to Git and GitHub",14,5,819,5,"Google","Beginner","https://www.coursera.org/learn/introduction-git-github",FALSE
"1978","PK8RF2g8EeSYbSIACzWPZQ","PK8RF2g8EeSYbSIACzWPZQ","COURSE","Art & Inquiry: Museum Teaching Strategies For Your Classroom",7,4.70979020979021,21544,286,"The Museum of Modern Art","Mixed","https://www.coursera.org/learn/artinquiry",FALSE
"1990","E4Z99BsMEeqMWhJYTN5k1Q","E4Z99BsMEeqMWhJYTN5k1Q","COURSE","Building Resilient Streaming Analytics Systems on GCP",13,4.71428571428571,302,14,"Google Cloud","Intermediate","https://www.coursera.org/learn/streaming-analytics-systems-gcp",FALSE
"1993","r2017VrTEemLEw4J_47EwA","r2017VrTEemLEw4J_47EwA","COURSE","Cybersecurity Compliance Framework & System Administration",12,4.67307692307692,1179,52,"IBM","Mixed","https://www.coursera.org/learn/cybersecurity-compliance-framework-system-administration",FALSE
"2013","39Z16y7BEeitCBL1JEiWag","39Z16y7BEeitCBL1JEiWag","COURSE","Managing Big Data in Clusters and Cloud Storage",21,4.66666666666667,1433,45,"Cloudera","Beginner","https://www.coursera.org/learn/cloud-storage-big-data-analysis-sql",FALSE
"2044","Y23EubLbEeiKUAqNzm0xRA","Y23EubLbEeiKUAqNzm0xRA","COURSE","Image Understanding with TensorFlow on GCP",12,4.59327217125382,4019,327,"Google Cloud","Advanced","https://www.coursera.org/learn/image-understanding-tensorflow-gcp",FALSE
"2054","h8N37XMSEeiIow7XjZ-s3g","h8N37XMSEeiIow7XjZ-s3g","COURSE","IBM IT Assessment: Identifying the Right Career for You!",3,4.05084745762712,1249,59,"IBM","Beginner","https://www.coursera.org/learn/ibm-it-assessment",FALSE
