,X_key,Course.ID,EntityType,Name,Length..Hours.,Avg..User.Rating,Total.Enrollments,Total.Ratings,Organiser,Difficulty,Public.URL,uni
2418,i4lCti8mEeadCQq-_15rRQ,i4lCti8mEeadCQq-_15rRQ,COURSE,"Gabriel García Márquez entre el poder, la historia y el amor",15,4.882352941,7861,51,Universidad de los Andes,Beginner,https://www.coursera.org/learn/gabriel-garcia-marquez-poder-historia-amor,TRUE
2419,hN6So5BcEeilcQpNXeebtA,hN6So5BcEeilcQpNXeebtA,COURSE,Adapt your leadership style,18,4.903225806,1627,31,Macquarie University,Beginner,https://www.coursera.org/learn/leadership-adapt-your-style,TRUE
2420,cYz0Y3QxEeSdOyIAC1STUg,cYz0Y3QxEeSdOyIAC1STUg,COURSE,Understanding Violence,19,4.521008403,17143,119,Emory University,Beginner,https://www.coursera.org/learn/violence,TRUE
2421,bnQLDSclEeWbiBJCM9ziNQ,bnQLDSclEeWbiBJCM9ziNQ,COURSE,Approximation Algorithms Part I,22,4.738461538,19954,130,École normale supérieure,Mixed,https://www.coursera.org/learn/approximation-algorithms-part-1,TRUE
2422,_yBsbgzOEeaX4g6xdats6w,_yBsbgzOEeaX4g6xdats6w,COURSE,Supply Chain Management Strategy,17,4.746411483,1587,209,Rutgers the State University of New Jersey,Mixed,https://www.coursera.org/learn/supply-chain-management-strategy,TRUE
2423,Akz7SBbAEeaXaw7Yj6TwHQ,Akz7SBbAEeaXaw7Yj6TwHQ,COURSE,Successful Career Development,11,4.547619048,8182,84,University System of Georgia,Beginner,https://www.coursera.org/learn/career-advancement,TRUE
2424,9tLp3ATHEee0Zgrp64zbaA,9tLp3ATHEee0Zgrp64zbaA,COURSE,El Valle de los Reyes,44,4.885844749,5593,219,Universitat Autònoma de Barcelona,Beginner,https://www.coursera.org/learn/valle-de-los-reyes,TRUE
2425,5MJaAlkJEei6Uw446v94Jg,5MJaAlkJEei6Uw446v94Jg,COURSE,L'innovation managériale en pratique,4,4.47826087,2162,115,ESSEC Business School,Beginner,https://www.coursera.org/learn/innovation-manageriale,TRUE
2427,vnoctcCAEeedJRJjt8USWA,vnoctcCAEeedJRJjt8USWA,COURSE,Communication theory: bridging academia and practice,11,4.621621622,4997,37,National Research University Higher School of Economics,Intermediate,https://www.coursera.org/learn/communicationtheory-academia-practice,TRUE
2428,qzpyzMIIEeaqug5_d2-DwA,qzpyzMIIEeaqug5_d2-DwA,COURSE,Logic for Economists,7,4.388888889,2585,36,University of Amsterdam,Advanced,https://www.coursera.org/learn/logic-for-economists,TRUE
