Course Link,Title,Short Description,Length,Effort,Price,Institution,Subject,Level,Language,Already Enrolled,,,
https://www.edx.org/course/sql-for-data-science,SQL for Data Science,Learn how to use and apply the powerful language of SQL to better communicate and extract data from databases - a must for anyone working in the data science field.,4 Weeks,2-4 hours per week,$39 USD,IBM,Data Analysis & Statistics,Introductory,English,34213,,,
https://www.edx.org/course/introduction-to-linear-models-and-matrix-algebra,Introduction to Linear Models and Matrix Algebra,Learn to use R programming to apply linear models to analyze data in life sciences.,4 Weeks,2-4 hours per week,$149 USD,HarvardX,Math,Intermediate,English,90574,,,
https://www.edx.org/course/improving-your-business-through-a-culture-of-healt,Improving Your Business Through a Culture of Health,"Learn how a Culture of Health can transform your business to improve the well-being of your employees and company, while increasing revenue.",9 Weeks,1-3 hours per week,$99 USD,HarvardX,Business & Management,Introductory,English,49329,,,
https://www.edx.org/course/quantitative-methods-for-biology,Quantitative Methods for Biology,"Learn introductory programming and data analysis in MATLAB, with applications to biology and medicine.",10 Weeks,3-5 hours per week,$99 USD,HarvardX,Computer Science,Introductory,English,29520,,,
https://www.edx.org/course/successful-negotiation-essential-strategies-and-skills,Successful Negotiation: Essential Strategies and Skills,Build negotiation skills and learn how to use and apply negotiation strategies to your life with the University of Michigan.,7 Weeks,2-4 hours per week,$49 USD,MichiganX,Business & Management,Introductory,English,28889,,,
https://www.edx.org/course/programacion-para-todos-empezando-con-python,Programación para todos (empezando con Python),"Este curso en línea es una introducción ""sin prerrequisitos"" a la programación en Python. Aprenderás sobre las variables, la ejecución condicional, la ejecución repetida y cómo usamos las funciones.",7 Weeks,2-4 hours per week,$49 USD,MichiganX,Computer Science,Introductory,Español,75573,,,
https://www.edx.org/course/upper-intermediate-english-modern-life,Upper-Intermediate English: Business and Modern Life,"Advance your English languageskillsas you learn how to rephrase sentences andprepare for an interview. Topics such as films, sports, and natural resources will also be discussed.",4 Weeks,3-5 hours per week,$50 USD,UPValenciaX,Language,Intermediate,English,71529,,,
https://www.edx.org/course/introduction-to-music-theory-2,Introduction To Music Theory,"Learn key concepts and approaches needed to understand, create, and perform contemporary music.",6 Weeks,3-5 hours per week,$49 USD,BerkleeX,Humanities,Introductory,English,63040,,,
https://www.edx.org/course/finanzas-personales,Finanzas Personales,Realice el diagnóstico real de sus finanzas personales o familiares y logre la libertad financiera.,10 Weeks,9-10 hours per week,$49 USD,JaverianaX,Business & Management,Introductory,Español,67838,,,
https://www.edx.org/course/sikhism-through-its-scriptures,Sikhism Through Its Scriptures,This course examines the Sikh scripture from a doctrinal and historical perspective by providing an overview of Sikh teachings as well as the historical context within which the scripture evolved and became canonized.,4 Weeks,5-10 hours per week,$49 USD,HarvardX,Humanities,Introductory,English,43139,,,
https://www.edx.org/course/religious-literacy-traditions-and-scriptures,Religious Literacy: Traditions and Scriptures,Learn how to better understand the rich and complex ways that religions function in historic and contemporary contexts.,4 Weeks,5-10 hours per week,$49 USD,HarvardX,Humanities,Introductory,English,94121,,,
https://www.edx.org/course/programming-for-the-web-with-javascript,Programming for the Web with JavaScript,Missing,4 Weeks,6-8 hours per week,$149 USD,PennX,Computer Science,Intermediate,English,87031,,,
https://www.edx.org/course/china-and-communism,China and Communism,"Explore the Maoist period of China, from the Communist Party to the death of Mao and the reopening of China.",15 Weeks,1-3 hours per week,$139 USD,HarvardX,History,Introductory,English,68413,,,
https://www.edx.org/course/c-programming-getting-started,C Programming: Getting Started,Start learning one of the most powerful and widely used programming languages: C.,7 Weeks,2-4 hours per week,$49 USD,"Dartmouth_IMTx
DartmouthX
IMTx",Computer Science,Introductory,English,98757,,,
https://www.edx.org/course/entrepreneurship-101-who-is-your-customer,Entrepreneurship 101: Who is your customer?,Entrepreneurship can be learned. Begin your journey by learning the first important skill for aspiring entrepreneurs.,10 Weeks,2-4 hours per week,$49 USD,MITx,Business & Management,Introductory,English,38892,,,
https://www.edx.org/course/women-making-history-ten-objects-many-stories,"Women Making History: Ten Objects, Many Stories","Learn how American women created, confronted, and embraced change in the 20th century while exploring ten objects from Radcliffe’s Schlesinger Library.",8 Weeks,2-3 hours per week,$99 USD,HarvardX,History,Introductory,English,34934,,,
