X_key,Course.ID,EntityType,Name,Length..Hours.,Avg..User.Rating,Total.Enrollments,Total.Ratings,Organiser,Difficulty,Public.URL
CsfN7hC9EeiE7wpvHFhXPA,CsfN7hC9EeiE7wpvHFhXPA,COURSE,Multiplatform Mobile App Development with React Native,28,4.698039215686275,10952,255,The Hong Kong University of Science and Technology,Intermediate,https://www.coursera.org/learn/react-native
niUt8_BPEemnBg47QxlXKg,niUt8_BPEemnBg47QxlXKg,COURSE,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,12,4.75,1054,4,Autodesk,Advanced,https://www.coursera.org/learn/autodesk-autocad-design-drafting
WZylFHqhEeatXAptp9b5_w,WZylFHqhEeatXAptp9b5_w,COURSE,Positive Psychology: Applications and Interventions,20,4.781276595744681,17800,1175,University of Pennsylvania,Beginner,https://www.coursera.org/learn/positive-psychology-applications
OmgIw0C2EeWZtA4u62x6lQ,OmgIw0C2EeWZtA4u62x6lQ,COURSE,Qualitative Research Methods,29,4.503900156006241,49166,641,University of Amsterdam,Intermediate,https://www.coursera.org/learn/qualitative-methods
A08bmt7QEeiEtg6CbLLNrg,A08bmt7QEeiEtg6CbLLNrg,COURSE,Building Conversational Experiences with Dialogflow,12,4.459016393442623,7875,183,Google Cloud,Beginner,https://www.coursera.org/learn/conversational-experiences-dialogflow
xPcHhsEbEeaXORK1gIKLbg,xPcHhsEbEeaXORK1gIKLbg,COURSE,Circular Economy - Sustainable Materials Management,28,4.852348993288591,6307,149,"Delft University of Technology, EIT RawMaterials, National Technical University of Athens, Geological Survey of Denmark and Greenland, Ghent University, VITO, Lund University",Beginner,https://www.coursera.org/learn/circular-economy
RO728xoIEeWg_RJGAuFGjw,RO728xoIEeWg_RJGAuFGjw,COURSE,Data Structures and Performance,28,4.797281323877068,54647,1692,University of California San Diego,Intermediate,https://www.coursera.org/learn/data-structures-optimizing-performance
07aYjGy8EeeB2gpod3ECDg,07aYjGy8EeeB2gpod3ECDg,COURSE,Software Architecture,13,4.484641638225256,15880,293,University of Alberta,Intermediate,https://www.coursera.org/learn/software-architecture
-dStqHwLEemRuwqxTtPkKg,-dStqHwLEemRuwqxTtPkKg,COURSE,IA para todos,10,4.895705521472393,3409,163,deeplearning.ai,Beginner,https://www.coursera.org/learn/ai-for-everyone-es
bvroJANGEeaJMgqy4cb6jQ,bvroJANGEeaJMgqy4cb6jQ,COURSE,"Teach English Now! Second Language Listening, Speaking, and Pronunciation",18,4.882743362831858,30058,904,Arizona State University,Beginner,https://www.coursera.org/learn/tesol-speaking
bAjl9C8gEeau1RIy_DW-kQ,bAjl9C8gEeau1RIy_DW-kQ,COURSE,Information Security: Context and Introduction,14,4.603351955307263,23250,716,"Royal Holloway, University of London, University of London",Beginner,https://www.coursera.org/learn/information-security-data
istduPpxEeWLNRKTxmetJQ,istduPpxEeWLNRKTxmetJQ,COURSE,An Intuitive Introduction to Probability,14,4.725968436154949,22830,697,University of Zurich,Beginner,https://www.coursera.org/learn/introductiontoprobability
Hq7dl9ELEeWB-BI5fjMtHQ,Hq7dl9ELEeWB-BI5fjMtHQ,COURSE,Bayesian Statistics,30,3.860162601626016,52098,615,Duke University,Intermediate,https://www.coursera.org/learn/bayesian
4dYvRZzuEeigWgp_hi6FmA,4dYvRZzuEeigWgp_hi6FmA,COURSE,Learning How To Learn for Youth,5,4.85207100591716,8751,338,Arizona State University,Beginner,https://www.coursera.org/learn/learning-how-to-learn-youth
RXo42NFzEeWEOQ7ZE5jC0Q,RXo42NFzEeWEOQ7ZE5jC0Q,COURSE,Réussir le Changement,10,4.478900883218842,29095,1019,ESSEC Business School,Mixed,https://www.coursera.org/learn/reussir-le-changement
-N44X0IJEeWpogr5ZO8qxQ,-N44X0IJEeWpogr5ZO8qxQ,COURSE,Machine Learning: Clustering & Retrieval,46,4.636313768513439,57339,1823,University of Washington,Mixed,https://www.coursera.org/learn/ml-clustering-and-retrieval
yFlo3xpQEeqQQxIxeQaLNQ,yFlo3xpQEeqQQxIxeQaLNQ,COURSE,Modernizing Data Lakes and Data Warehouses with GCP,9,4.636363636363637,676,44,Google Cloud,Intermediate,https://www.coursera.org/learn/data-lakes-data-warehouses-gcp
tE4j0qhMEeecqgpT6QjMdA,tE4j0qhMEeecqgpT6QjMdA,COURSE,Applied AI with DeepLearning,18,4.463533225283631,29717,617,IBM,Advanced,https://www.coursera.org/learn/ai
mmviMR5tEeiUvhKWiCWCXA,mmviMR5tEeiUvhKWiCWCXA,COURSE,Networking and Security Architecture with VMware NSX,20,4.765765765765766,13441,111,VMware,Intermediate,https://www.coursera.org/learn/networking-security-architecture-vmware-nsx
ObD5QafsEei1AAo9TgayGg,ObD5QafsEei1AAo9TgayGg,COURSE,Actualización en el manejo del paciente con diabetes mellitus tipo 2,16,4.828125,9305,192,Universidad Nacional Autónoma de México,Mixed,https://www.coursera.org/learn/actualizacion-manejo-diabetes-tipo-2
sIzu4R5yEeaCoQrM2bnbCQ,sIzu4R5yEeaCoQrM2bnbCQ,COURSE,Julia Scientific Programming,23,4.480392156862745,17703,204,University of Cape Town,Beginner,https://www.coursera.org/learn/julia-programming
5YCz7-zMEeeMzQrhp6Bs1g,5YCz7-zMEeeMzQrhp6Bs1g,COURSE,Computer Vision Basics,12,3.863636363636364,7669,198,"The State University of New York, University at Buffalo",Intermediate,https://www.coursera.org/learn/computer-vision-basics
-Y69EP9dEeSa0SIACyGBQw,-Y69EP9dEeSa0SIACyGBQw,COURSE,Introduction to Systems Engineering,32,4.696696696696697,28994,333,UNSW Sydney (The University of New South Wales),Mixed,https://www.coursera.org/learn/systems-engineering
aZysaaT7EeWiJhIfkgG__w,aZysaaT7EeWiJhIfkgG__w,COURSE,Software Security,22,4.635907723169509,42520,997,"University of Maryland, College Park",Mixed,https://www.coursera.org/learn/software-security
11LxbC_mEee0Rg7CP08obA,11LxbC_mEee0Rg7CP08obA,COURSE,Design Thinking,33,4.584415584415584,5618,77,HEC Paris,Beginner,https://www.coursera.org/learn/design-thinking-innovation
